,A股代码,证券简称,证券全称,上市日期,板块,B股代码,交易所
314,600399,抚顺特钢,抚顺特殊钢股份有限公司,2000-12-29,主板A股,,上交所
315,600400,红豆股份,江苏红豆实业股份有限公司,2001-01-08,主板A股,,上交所
316,600403,大有能源,河南大有能源股份有限公司,2003-10-09,主板A股,,上交所
317,600405,动力源,北京动力源科技股份有限公司,2004-04-01,主板A股,,上交所
318,600406,国电南瑞,国电南瑞科技股份有限公司,2003-10-16,主板A股,,上交所
319,600408,安泰集团,山西安泰集团股份有限公司,2003-02-12,主板A股,,上交所
320,600409,三友化工,唐山三友化工股份有限公司,2003-06-18,主板A股,,上交所
321,600410,华胜天成,北京华胜天成科技股份有限公司,2004-04-27,主板A股,,上交所
322,600415,小商品城,浙江中国小商品城集团股份有限公司,2002-05-09,主板A股,,上交所
323,600416,湘电股份,湘潭电机股份有限公司,2002-07-18,主板A股,,上交所
324,600418,江淮汽车,安徽江淮汽车集团股份有限公司,2001-08-24,主板A股,,上交所
325,600419,天润乳业,新疆天润乳业股份有限公司,2001-06-28,主板A股,,上交所
